,gps_e,gps_n,pf_e,pf_n,pf_theta,diff_e,diff_n,diff_sum,error
0,743072.0994112047,3398151.8400182202,743067.8508721086,3398146.709898556,0.8546166250281247,18.050084451036984,26.31812776828171,44.36821221931869,6.660946796013214
1,743073.2925900074,3398153.069184269,743052.3200974077,3398130.0655292007,0.8195465876196747,439.8454458462924,529.1681464926139,969.0135923389064,31.128983156198764
2,743074.4830680592,3398154.294389402,743007.0044897259,3398081.4929351904,0.8277690833410468,4553.358533880235,5300.05173532154,9853.410269201775,99.26434540761237
3,743075.6737945119,3398155.5224155285,743060.0992079676,3398138.400863075,0.8386580677913154,242.567746025962,293.14755841371783,535.7153044396798,23.145524501287063
4,743076.8649980533,3398156.746113555,743065.0569508089,3398143.6058027865,0.8507198971273282,139.4299797269671,172.66776709285418,312.0977468198213,17.666288427958523
5,743078.0572697086,3398157.9689577636,743124.1246947212,3398207.863399149,1.1062695907518765,2122.2076472904646,2489.4552811499193,4611.662928440384,67.90922565042533
6,743079.2510265792,3398159.1932304194,743104.2555212586,3398183.997858206,0.8754931168025293,625.2247541718052,615.2695596213748,1240.49431379318,35.2206518081818
7,743080.4391431441,3398160.4132432127,743112.7538955425,3398193.4182608402,0.8456975819051307,1044.2432225704167,1089.3311885913397,2133.5744111617564,46.19063120549184
8,743081.631227551,3398161.6285419744,743138.258870607,3398220.8322499436,0.9142235094064104,3206.689958075596,3505.079037312004,6711.7689953876,81.9253867576321
9,743082.8165688163,3398162.8468909804,743073.7927063906,3398152.1712882146,0.8537685539100633,81.43009307802446,113.96849441217158,195.39858749019604,13.978504479743032
10,743084.000313006,3398164.065772223,743005.3225168138,3398078.981697396,0.8254391391030671,6190.195613666771,7239.299789151406,13429.495402818178,115.885699733911
11,743085.1843478783,3398165.282645637,,,0.0,,,,
12,743086.3638434375,3398166.5067774053,,,0.0,,,,
13,743087.5488180271,3398167.731420693,,,0.0,,,,
14,743088.7184864868,3398168.9607284376,,,0.0,,,,
15,743089.8814585267,3398170.19102126,743122.4535782126,3398208.0073843207,1.0613205784993158,1060.9429808350471,1430.0773151497879,2491.020295984835,49.91012217962239
16,743091.046569993,3398171.4194772136,743079.6886610733,3398160.290707876,0.8629226899956137,129.00209502789306,123.84950697095913,252.85160199885217,15.901308185141628
17,743092.2071888655,3398172.653126355,743077.3707902831,3398155.5268784286,0.85738958843976,220.1187228970238,293.3083680279406,513.4270909249644,22.658929606778965
18,743093.367809803,3398173.891605471,743102.811024142,3398182.045404667,0.9422035566297984,89.1742970517532,66.4844413325969,155.6587383843501,12.476327119162518
19,743094.5261857696,3398175.1276836293,743109.0762197673,3398189.0598540464,0.9303550337595018,211.7034893355156,194.10537253278255,405.80886186829815,20.144698108144937
20,743095.684092271,3398176.362795692,743111.0237971089,3398191.064244256,0.94319953042401,235.30654451336778,216.1325898785263,451.4391343918941,21.247097081528434
21,743096.8435192633,3398177.5997502417,743086.0644019794,3398165.1913559884,0.9501913901596543,116.18936941957556,153.96824794649658,270.15761736607215,16.4364721691144
22,743097.997399414,3398178.8283145935,743044.7684955277,3398122.814642281,0.9651843394617776,2833.3162089348366,3137.5314859569553,5970.847694891792,77.27126047174197
23,743099.1655102129,3398180.0573043576,743097.9007263576,3398179.0152074485,0.9193469148720915,1.5996782006143997,1.0859659680299294,2.685644168644329,1.638793510069017
24,743100.3189413053,3398181.2859621597,743118.205564842,3398200.324903022,0.9181410248190847,319.93130154371073,362.4812691576554,682.4125707013661,26.123027594468564
25,743101.4675112974,3398182.516369726,,,0.0,,,,
26,743102.6133630404,3398183.7485238784,,,0.0,,,,
27,743103.7566912549,3398184.970858222,,,0.0,,,,
28,743104.9021562116,3398186.193447675,,,0.0,,,,
29,743106.0427381219,3398187.4108645716,,,0.0,,,,
30,743107.1805660536,3398188.6256881943,743144.8155445142,3398233.424985229,1.101626044830819,1416.3916037308525,2006.9770148069042,3423.3686185377564,58.50956006105119
31,743108.3178170731,3398189.839362491,743147.9790113269,3398237.9387183907,1.1168663582063332,1573.010329639983,2313.548037968779,3886.558367608762,62.34226790556117
32,743109.4437714714,3398191.045239661,743136.58486664,3398225.5041757296,1.085250004192085,736.6390469540279,1187.418274986412,1924.0573219404398,43.86407780793345
33,743110.5733027739,3398192.2567766826,743054.7765682167,3398132.1290743183,0.8363352314592266,3113.2755872396983,3615.3405916017173,6728.616178841416,82.02814260265446
34,743111.6895719258,3398193.4556423286,743060.100873993,3398137.6971918894,0.8335634795090184,2661.3937543993093,3109.004795380701,5770.39854978001,75.96313941498212
35,743112.7986180428,3398194.6501606046,743084.1436986086,3398162.6599696553,0.8254630027776655,821.1044077817762,1023.3723169720993,1844.4767247538755,42.947371569793134
36,743113.9093466708,3398195.8462667465,743096.6595275186,3398175.6768905194,0.8335755315963772,297.55626078671094,406.8037373892325,704.3599981759435,26.5397814266799
37,743114.9902358326,3398197.0303853694,743064.2878633421,3398142.146465782,0.8666165204558893,2570.7305761699545,3012.2446292716704,5582.975205441625,74.71930945506405
38,743116.0792537975,3398198.217270809,743070.4177709096,3398148.6054633306,0.8699006420376595,2084.9710195242355,2461.331441292857,4546.302460817093,67.42627426172302
39,743117.1457062489,3398199.397214728,743065.0325582596,3398143.0460128617,0.8877378553413849,2715.780193363136,3175.457951775111,5891.238145138246,76.75440147078372
40,743118.1996831088,3398200.5731314914,743055.1783173885,3398132.7551562623,0.9084868861676968,3971.692537253448,4599.277764177265,8570.970301430712,92.5795350033187
